TICKET,CODIGO
METAL IGUACUON,MTIG3
METAL IGUACUPN,MTIG4
METAL LEVEON,LEVE3
METALFRIOON,FRIO3
METISAON,MTSA3
METISAPN,MTSA4
Metlife Inc DRN,METB34
Metlife Inc,METB34
MGM RESORTS,M1GM34
MGM RESORTSDRN,M1GM34
MICRON TECHN,MUTC34
MICRON TECHNDRN,MUTC34
MICROSOFT,MSFT34
MICROSOFT,MSFT34
MICROSOFTDRN,MSFT34
MILLSON,MILS3
MINASMAQUINAON,MMAQ3
MINASMAQUINAPN,MMAQ4
MINASMAQUINASON,MMAQ3
MINASMAQUINASPN,MMAQ4
MINERVAON,BEEF3
MINUPARON,MNPR3
MITRE REALTYON,MTRE3
MITREON,MTRE3
Mitsubishi U DRN,M1UF34
Mitsubishi U,M1UF34
MMX MINERON,MMXM3
MOBLYON,MBLY3
Modalmais UNT N2,MODL11
MODALMAISON,MODL3
MODALMAISPN,MODL4
MODERNA INC,M1RN34
MODERNA INCDRN,M1RN34
MONDELEZ INT,MDLZ34
MONDELEZ INTDRN,MDLZ34
Mongodb Inc DRN,M1DB34
Mongodb Inc,M1DB34
MONSTER BEVE,M1NS34
MONSTER BEVEDRN,M1NS34
MONT ARANHAON,MOAR3
MORGAN STAN,MSBR34
MORGAN STANDRN,MSBR34
MOSAIC CO,MOSC34
MOSAIC CODRN,MOSC34
MOSAICO SAON,MOSI3
MOSAICOON,MOSI3
MOURA DUBEUXON,MDNE3
MOVIDAON,MOVI3
MRS LOGISTON,MRSA3B
MRS LOGISTPNA,MRSA5B
MRS LOGISTPNB,MRSA6B
MRVON,MRVE3
MULTILASERON,MLAS3
MULTIPLANON,MULT3
MUNDIALON,MNDL3
NASDAQ INC,N1DA34
NASDAQ INCDRN,N1DA34
NEOENERGIAON,NEOE3
NEOGRIDON,NGRD3
NETEASE,NETE34
NETEASEDRN,NETE34
NETFLIX,NFLX34
NETFLIXDRN,NFLX34
NEW ORIENTAL,E1DU34
NEW ORIENTALDRN,E1DU34
NEWMONT GOLD,N1EM34
NEWMONT GOLDDRN,N1EM34
NEXTERA ENER,NEXT34
NEXTERA ENERDRN,NEXT34
NIKE,NIKE34
NIKEDRN,NIKE34
NOKIA CORP,NOKI34
NOKIA CORPDRN,NOKI34
NORD BRASILON,BNBR3
NORDON METON,NORD3
NORTCQUIMICAON,NRTQ3
NORWEGIAN CR,N1CL34
NORWEGIAN CRDRN,N1CL34
NOVARTIS AG,N1VS34
NOVARTIS AGDRN,N1VS34
NOVO NORDISK,N1VO34
NOVO NORDISKDRN,N1VO34
NUTRIPLANTON,NUTR3
NVIDIA CORP,NVDC34
NVIDIA CORP,NVDC34
NVIDIA CORPDRN,NVDC34
Nxp Semicond DRN,N1XP34
Nxp Semicond,N1XP34
OCCIDENT PTR,OXYP34
OCCIDENT PTRDRN,OXYP34
OCEANPACTON,OPCT3
ODERICHON,ODER3
ODERICHPN,ODER4
ODONTOPREVON,ODPV3
OION,OIBR3
OIPN,OIBR4
Okta Inc DRN,O1KT34
Okta Inc,O1KT34
OMEGA GERON,OMGE3
Omegaenergia ON NM,MEGA3
ONCOCLINICASON,ONCO3
OPPORT ENERGON,OPHE3B
ORACLE,ORCL34
ORACLEDRN,ORCL34
ORIZONON,ORVR3
OSX BRASILON,OSXB3
OUROFINO S/AON,OFSA3
P.ACUCAR-CBDON,PCAR3
PACTUAL IBOV,IBOB11
PACTUAL IBOVCI,IBOB11
PADTECON,PDTC3
Pagseguro DRN,PAGS34
Pagseguro,PAGS34
PAGUE MENOSON,PGMN3
PANATLANTICAON,PATI3
PANATLANTICAPN,PATI4
PAR AL BAHIAON,PEAB3
PAR AL BAHIAPN,PEAB4
PARANAPANEMA,PMAM3
PARANAPANEMAON,PMAM3
PAYPAL HOLD,PYPL34
PAYPAL HOLDDRN,PYPL34
PBG S/AON,PTBL3
PDG REALTON,PDGR3
PEPSICO INC,PEPB34
PEPSICO INCDRN,PEPB34
PET MANGUINHON,RPMG3
PETNGUINHON,RPMG3
PETROBRAS BRON,BRDT3
PETROBRASON,PETR3
PETROBRASPN,PETR4
PETROCHIN,PTCH34
PETROCHINDRN,PTCH34
PETRORECSAON,RECV3
PETRORIOON,PRIO3
PETTENATION,PTNT3
PETTENATIPN,PTNT4
PETZON,PETZ3
PFIZER,PFIZ34
PFIZERDRN,PFIZ34
PG,PGCO34
PGDRN,PGCO34
PHILIP MORRI,PHMO34
PHILIP MORRIDRN,PHMO34
PINDUODUO IN,P1DD34
PINDUODUO INDRN,P1DD34
PINEON,PINE3
PINEPN,PINE4
PLANOEPLANOON,PLPL3
PLASCAR PARTON,PLAS3
POLPARON,PPAR3
POMIFRUTASON,FRTA3
PORTO SEGUROON,PSSA3
PORTOBELLOON,PTBL3
POSITIVO TECON,POSI3
PPLAUNT,PPLA11
PRATICAON,PTCA3
PRATICAPN RESG,PTCA11
PRINERON,PRNR3
PROFARMAON,PFRM3
PROLOGIS INC,P1LD34
PROLOGIS INCDRN,P1LD34
PROMPTON,PRPT3B
Public Stora DRN,P1SA34
Public Stora,P1SA34
QR BITCOIN,QBTC11
QR BITCOINCI,QBTC11
QR DEFI,QDFI11
QR DEFICI,QDFI11
QR ETHER,QETH11
QR ETHERCI,QETH11
QUALCOMM,QCOM34
QUALCOMMDRN,QCOM34
QUALICORPON,QUAL3
QUALITY SOFTON,QUSW3
QUERO-QUEROON,LJQQ3
RAIADROGASILON,RADL3
RAIZENPN,RAIZ4
RANDON PARTON,RAPT3
RANDON PARTPN,RAPT4
RAYTHEONTECH,RYTT34
RAYTHEONTECHDRN,RYTT34
RD SHELL,RDSA34
RD SHELLDRN,RDSA34
REALTY INCOM,R1IN34
REALTY INCOMDRN,R1IN34
RECRUSULON,RCSL3
RECRUSULPN,RCSL4
REDE D ORON,RDOR3
REDE ENERGIAON,REDE3
REGENERON PH,REGN34
REGENERON PHDRN,REGN34
RENOVAON,RNEW3
RENOVAPN,RNEW4
RENOVAUNT,RNEW11
RIO TINTO,RIOT34
RIO TINTODRN,RIOT34
RIOSULENSEON,RSUL3
RIOSULENSEPN,RSUL4
RNION,RDNI3
Rodobens UNT EJ,RBNS11
ROKU INC,R1KU34
ROKU INCDRN,R1KU34
ROSSI RESIDON,RSID3
ROYAL CARIBB,R1CL34
ROYAL CARIBBDRN,R1CL34
RUMO LOGON,RAIL3
RUMO S.A.ON,RAIL3
SABESPON,SBSP3
SAFRAETFELAS,ELAS11
SAFRAETFELASCI,ELAS11
SAFRAETFIBOV,BOVS11
SAFRAETFIBOVCI,BOVS11
SALESFORCE,SSFO34
SALESFORCEDRN,SSFO34
SANEPARON,SAPR3
SANEPARPN,SAPR4
SANEPARUNT,SAPR11
SANSUYON,SNSY3
SANSUYPNA,SNSY5
SANSUYPNB,SNSY6
SANTANDER BRON,SANB3
SANTANDER BRPN,SANB4
SANTANDER BRUNT,SANB11
SANTANDER,BCSA34
SANTANDERDRN,BCSA34
SANTANENSEON,CTSA3
SANTANENSEPN,CTSA4
SANTANENSEPND,CTSA8
SANTOS BRPON,STBP3
SAO CARLOSON,SCAR3
SAO MARTINHOON,SMTO3
SAORTINHOON,SMTO3
SAP SE,SAPP34
SAP SEDRN,SAPP34
SARAIVA LIVRON,SLED3
SARAIVA LIVRPN,SLED4
SAUIPEON,PSEG3
SAUIPEPN,PSEG4
SCHULZON,SHUL3
SCHULZPN,SHUL4
SCHWAB,SCHW34
SCHWABDRN,SCHW34
Sea Ltd DRN,S2EA34
Sea Ltd,S2EA34
SEG AL BAHIAON,CSAB3
SEG AL BAHIAPN,CSAB4
SEQUOIA LOGON,SEQL3
SER EDUCAON,SEER3
SERUCAON,SEER3
SERVICENOW,N1OW34
SERVICENOWDRN,N1OW34
Shopify Inc DRN,S2HO34
Shopify Inc,S2HO34
Sibanye Stil DRN,S1BS34
Sibanye Stil,S1BS34
SID NACIONALON,CSNA3
SIMON PROP,SIMN34
SIMON PROPDRN,SIMN34
SIMPARON,SIMH3
SINQIAON,SQIA3
SL GREEN REA,S1LG34
SL GREEN READRN,S1LG34
SLC AGRICOLAON ED,SLCE3
SLC AGRICOLAON,SLCE3
SMART FITON,SMFT3
SMART HASH,WEB311
SMART HASHCI,WEB311
SMILESON,SMLS3
SONDOTECNICAON,SOND3
SONDOTECNICAPNA,SOND5
SONDOTECNICAPNB,SOND6
SONY GROUP,SNEC34
SONY GROUPDRN,SNEC34
SPLUNK INC,S1PL34
SPLUNK INCDRN,S1PL34
SPOTIFY TECH,S1PO34
SPOTIFY TECHDRN,S1PO34
SPRINGSON,SGPS3
SPTURISON,AHEB3
SPTURISPNA,AHEB5
SPTURISPNB,AHEB6
STARAON,STTR3
STARBUCKS,SBUB34
STARBUCKSDRN,SBUB34
STATKRAFTON,STKF3
SUDESTEON,OPSE3B
SUL 116 PARTON,OPTS3B
SUL AMERICAON,SULA3
SUL AMERICAPN,SULA4
SUL AMERICAUNT,SULA11
SUZANO HOLDON,NEMO3
SUZANO HOLDPNA,NEMO5
SUZANO HOLDPNB,NEMO6
SUZANO PAPELON,SUZB3
SUZANO PAPELPNA,SUZB5
SUZANO S.A.ON,SUZB3
SYN PROP TECON,SYNE3
TAESAON,TAEE3
TAESAPN,TAEE4
TAESAUNT,TAEE11
TAIWANSMFAC,TSMC34
TAIWANSMFACDRN,TSMC34
TAKE-TWO INT,T1TW34
TAKE-TWO INTDRN,T1TW34
TALUCATIO,T1AL34
TALUCATIODRN,T1AL34
TAPESTRY INC,TPRY34
TAPESTRY INCDRN,TPRY34
TARGET CORP,TGTB34
TARGET CORPDRN,TGTB34
TAURUS ARMASON,TASA3
TAURUS ARMASPN,TASA4
TASA4 PN,TASA4
TASA4PN,TASA4
TASA3 ON,TASA3
TASA3ON,TASA3
TCON,TRAD3
TECH BRASIL,TECB11
TECH BRASILCI,TECB11
TECHNOSON,TECN3
TECNISAON,TCSA3
TECNOSOLOON,TCNO3
TECNOSOLOPN,TCNO4
TEGMA GESTAOON,TGMA3
TEGMAON,TGMA3
TEGRA INCORPON,TEGA3
TEKAON,TEKA3
TEKAPN,TEKA4
TEKNOON,TKNO3
TEKNOPN,TKNO4
Teladochealt DRN,T2DH34
Teladochealt,T2DH34
TELEBRASON,TELB3
TELEBRASPN,TELB4
TELEF BRASILON,VIVT3
TELEF BRASILPN,VIVT4
TELEFONIC,TLNC34
TELEFONICDRN,TLNC34
TENDAON,TEND3
Terniumsa DRN,TXSA34
Terniumsa,TXSA34
TERRA SANTA PA,LAND3
TERRA SANTAON,TESA3
TERRA SANTAPAON,LAND3
TERRASANTAPA,LAND3
TERRASANTAPAON,LAND3
TESLA INC,TSLA34
TESLA INCDRN,TSLA34
Teva Pharmac DRN,T1EV34
Teva Pharmac,T1EV34
TEX RENAUXON,TXRX3
TEX RENAUXPN,TXRX4
TEXAS INC,TEXA34
TEXAS INCDRN,TEXA34
THERMFISCHER,TMOS34
THERMFISCHERDRN,TMOS34
TIM PARTON,TIMP3
TIME FOR FUNON,SHOW3
TIMON,TIMS3
TOTVSON,TOTS3
TOYOTAMO,TMCO34
TOYOTAMODRN,TMCO34
TRACK FIELDPN,TFCO4
Trade Desk DRN,T2TD34
Trade Desk,T2TD34
TRAN PAULISTON,ISAE3
TRAN PAULISTPN,ISAE4
TRANSOCEAN,RIGG34
TRANSOCEANDRN,RIGG34
TREND ACWI,ACWI11
TREND ACWICI,ACWI11
TREND ASIA,ASIA11
TREND ASIACI,ASIA11
TREND CHINA,XINA11
TREND CHINACI,XINA11
TREND EMEG,EMEG11
TREND EMEGCI,EMEG11
TREND ESG D,ESGD11
TREND ESG DCI,ESGD11
TREND ESG E,ESGE11
TREND ESG ECI,ESGE11
TREND ESG US,ESGU11
TREND ESG USCI,ESGU11
TREND EUROPA,EURP11
TREND EUROPACI,EURP11
TREND IBOVX,BOVX11
TREND IBOVXCI,BOVX11
TREND IFIX-L,XFIX11
TREND IFIX-LCI,XFIX11
TREND NASDAQ,NASD11
TREND NASDAQCI,NASD11
TREND OURO,GOLD11
TREND OUROCI,GOLD11
TREND SMALL,XMAL11
TREND SMALLCI,XMAL11
TREND U REIT,URET11
TREND U REITCI,URET11
TREND US LRG,USAL11
TREND US LRGCI,USAL11
TREND US TEC,UTEC11
TREND US TECCI,UTEC11
TREVISAON,LUXM3
TREVISAPN,LUXM4
TRG SMIC CAP,TRIG11
TRG SMIC CAPCI,TRIG11
TRIPADVISOR,T1RI34
TRIPADVISORDRN,T1RI34
TRISUL S.A.ON,TRIS3
TRISULON,TRIS3
TRIUNFO PARTON,TPIS3
TUPYON,TUPY3
TWILIO INC,T1WL34
TWILIO INCDRN,T1WL34
TWITTER,TWTR34
TWITTERDRN,TWTR34
UBER TECH IN,U1BE34
UBER TECH INDRN,U1BE34
UBS GROUP,UBSG34
UBS GROUPDRN,UBSG34
ULTRAPARON,UGPA3
UNIBANCOUNT,UBBR11
UNICASAON,UCAS3
UNIFIQUEON,FIQE3
UNILEVER,ULEV34
UNILEVERDRN,ULEV34
UNIPAR CARBOPNB,UNIP6
UNIPARON,UNIP3
UNIPARPNA,UNIP5
UNIPARPNB,UNIP6
UNITED AIRLI,U1AL34
UNITED AIRLIDRN,U1AL34
UNITEDHEALTH,UNHH34
UNITEDHEALTHDRN,UNHH34
Unity Softwr DRN,U2ST34
Unity Softwr,U2ST34
UPS,UPSS34
UPSDRN,UPSS34
UPTICKON,UPKP3
Us Bancorp DRN,USBC34
Us Bancorp,USBC34
US STEEL,USSX34
US STEELDRN,USSX34
USIMINASON,USIM3
USIMINASPNA,USIM5
USIMINASPNB,USIM6
USINAS SID DPNA,USIM5
VALE R DOCEPNA,VALE5
VALEON,VALE3
VALEPNA,VALE5
VALERO ENER,VLOE34
VALERO ENERDRN,VLOE34
VALID SOLUÇÕON,VLID3
VALIDON,VLID3
VAMOSON,VAMO3
VERIZON,VERZ34
VERIZONDRN,VERZ34
VERTEX PHARM,VRTX34
VERTEX PHARMDRN,VRTX34
VIACOMCBS,C1BS34
VIACOMCBSDRN,C1BS34
VIAON,BHIA3
VIAVAREJOON,BHIA3
VIBRAON,VBBR3
Vipshop Hold DRN,V1IP34
Vipshop Hold,V1IP34
VISA INC,VISA34
VISA INCDRN,VISA34
VITTIAON,VITT3
VIVARA S.A.ON,VIVA3
VIVEOON,VVEO3
VIVERON,VIVR3
Vodafone Gro DRN,V1OD34
Vodafone Gro,V1OD34
VORNADO REAL,V1NO34
VORNADO REALDRN,V1NO34
VULCABRASON,VULC3
WALGREENS,WGBA34
WALGREENSDRN,WGBA34
WALRT,WALM34
WALRTDRN,WALM34
WALT DISNEY,DISB34
WALT DISNEYDRN,DISB34
WDC NETWORKSON,LVTC3
WEG S.A.ON,WEGE3
WEGON ED,WEGE4
WEGON,WEGE3
Weibo Corp DRN,W1BO34
Weibo Corp,W1BO34
WELLS FARGO,WFCO34
WELLS FARGODRN,WFCO34
WESTWINGON,WEST3
WETZEL S/AON,MWET3
WETZEL S/APN,MWET4
WHIRLPOOLON,WHRL3
WHIRLPOOLPN,WHRL4
WILSON SONSON,PORT3
WILSON SONSON,WSON33
WIX.COM LTD,W1IX34
WIX.COM LTDDRN,W1IX34
WIZ S.A.ON,WIZS3
WIZ S.AON,WIZS3
WLM IND COMON,WLMM3
WLM IND COMPN,WLMM4
YDUQS PARTON,YDUQ3
ZOETIS INC,Z1TS34
ZOETIS INCDRN,Z1TS34
ZOOM VIDEO,Z1OM34
ZOOM VIDEODRN,Z1OM34
