TICKET,CODIGO
ELETROPARON,LIPR3
ELETROPAULOPN,ELPL4
EMAEON,EMAE3
EMAEPN,EMAE4
EMBRAERON,EMBR3
EMBRATEL PARON,EBTP3
EMBRATEL PARPN,EBTP4
ENAUTA PARTON,ENAT3
ENCORPARON,ECPR3
ENCORPARPN,ECPR4
ENERGIAS BRON,ENBR3
ENERGISA MTON,ENMT3
ENERGISA MTPN,ENMT4
ENERGISAON,ENGI3
ENERGISAPN,ENGI4
ENERGISAUNT N2,ENGI11
ENEVAON,ENEV3
ENGIE BRASILON,EGIE3
ENJOEION,ENJU3
EQTL MARANHAOON,EQMA3B
EQTL MARANHAOPNA,EQMA5B
EQTL MARANHAOPNB,EQMA6B
EQTL PARAON,EQPA3
EQTL PARAPNA,EQPA5
EQTL PARAPNB,EQPA6
EQTL PARAPNC,EQPA7
EQUATORIALON,EQTL3
ESPACOLASERON,ESPA3
ESTACIO PARTON,YDUQ3
ESTAPARON,ALPK3
ESTRELAON,ESTR3
ESTRELAPN,ESTR4
ETERNITON,ETER3
EUCATEXON,EUCA3
EUCATEXPN,EUCA4
EVENON,EVEN3
EXCELSIORON,BAUH3
EXCELSIORPN,BAUH4
EZ TEC EMPREON,EZTC3
EZTECON,EZTC3
FER HERINGERON,FHER3
FERBASAON,FESA3
FERBASAPN,FESA4
FIBRIA CELULON,FIBR3
FINANSINOSON,FNCN3
FLEURYON,FLRY3
FLEX S/AON,FLEX3
FOCUS ONON,POWE3
FRAS-LEON,FRAS3
GAFISAON,GFSA3
GAMA PARTON,OPGM3B
GENERALSHOPPON,GSHP3
GER PARANAPON,GEPA3
GER PARANAPPN,GEPA4
GERDAU METON,GOAU3
GERDAU METPN,GOAU4
GERDAUON,GGBR3
GERDAUPN,GGBR4
GOLPN,GOLL4
GP INVESTA,GPIV33
GPC PARTON,GPCP3
GPC PARTPN,GPCP4
GPSON,GGPS3
GRAZZIOTINON,CGRA3
GRAZZIOTINPN,CGRA4
GRENDENEON,GRND3
GRUPO MATEUSON,GMAT3
GRUPO NATURA,NTCO3
GRUPO NATURAON,NTCO3
GRUPO SOMAON,SOMA3
GUARARAPESON,GUAR3
HABITASULON,HBTS3
HABITASULPNA,HBTS5
HABITASULPNB,HBTS6
HAGA S/AON,HAGA3
HAGA S/APN,HAGA4
HAPVIDAON,HAPV3
HBR REALTYON,HBRE3
HELBORON,HBOR3
HERCULESON,HETA3
HERCULESPN,HETA4
HIDROVIASON,HBSA3
HOTEIS OTHONON,HOOT3
HOTEIS OTHONPN,HOOT4
HYPERAON,HYPE3
IGB S/AON,IGBR3
IGUA SAON,IGSN3
IGUATEMION,IGTA3
IHPARDINION,PARD3
IMC S/AON,MEAL3
IND CATAGUASON,CATA3
IND CATAGUASPN,CATA4
INDS ROMION,ROMI3
INDUSTRIAS RON,ROMI3
INEPARON,INEP3
INEPARPN,INEP4
INTELBRASON,INTB3
INTER SAON,INNT3
INTERMEDICAON,GNDI3
INVEPARON,IVPR3B
INVEPARPN,IVPR4B
INVEST BEMGEON,FIGE3
INVEST BEMGEPN,FIGE4
IOCHP-MAXIONON,MYPK3
IRANION,RANI3
IRBBRASIL REON,IRBR3
